title,artist
Last Night,Morgan Wallen
Flowers,Miley Cyrus
NASTY (Extended Version),Russ
Fast Car,Luke Combs
Calm Down,Rema & Selena Gomez
Heart Like A Truck,Lainey Wilson
FLOWER,JISOO
Eyes Closed,Ed Sheeran
Anti-Hero,Taylor Swift
Thank God I Do,Lauren Daigle
Thank God,Kane Brown & Katelyn Brown
Thought You Should Know,Morgan Wallen
Thinkin’ Bout Me,Morgan Wallen
You Say,Lauren Daigle
Players,Coi Leray
Kill Bill,SZA
TRUSTFALL,P!nk
That’s Not How This Works (feat. Dan + Shay),Charlie Puth
God's Country,Blake Shelton
wait in the truck,HARDY & Lainey Wilson
Rock and a Hard Place,Bailey Zimmerman
Love Makes You Blind,Kaylee Rose
Favorite Song,Toosii
Lavender Haze (Acoustic Version),Taylor Swift
Wasted On You,Morgan Wallen
Love You Anyway,Luke Combs
Fighting Myself,LINKIN PARK
NEED A FAVOR,Jelly Roll
I Ain't Worried,OneRepublic
A Drop,Paid Pat
Unstoppable,Sia
5 Leaf Clover,Luke Combs
One Thing At A Time,Morgan Wallen
Sure Thing,Miguel
Like Crazy,Jimin
Like Crazy (English Version),Jimin
Beat You There,Will Dempsey
You Proof,Morgan Wallen
Tennessee Whiskey,Chris Stapleton
Chasin' You,Morgan Wallen
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
Something in the Orange (Z&E's Version),Zach Bryan
Like Crazy (Deep House Remix),Jimin
Growin' Up and Gettin' Old,Luke Combs
Son Of A Sinner,Jelly Roll
As It Was,Harry Styles
Rescue,Lauren Daigle
Fight The Feeling,Rod Wave
Handle On You,Parker McCollum
Made You Look,Meghan Trainor
Unholy,Sam Smith & Kim Petras
Like Crazy (UK Garage Remix),Jimin
Calm Down,Rema
Dancin’ In The Country,Tyler Hubbard
In Jesus Name (God Of Possible),Katy Nichole
All Eyes On Me,JISOO
I'm Good (Blue),David Guetta & Bebe Rexha
"Boy's a liar, Pt. 2",PinkPantheress & Ice Spice
Bori,6ix9ine & Lenier
All Of The Girls You Loved Before,Taylor Swift
Lost,LINKIN PARK
Die For You (Remix),The Weeknd & Ariana Grande
Escapism.,RAYE & 070 Shake
Hold On To Me,Lauren Daigle
Bloody Mary,Lady Gaga
Mother,Meghan Trainor
Hold My Hand,Lady Gaga
labour,Paris Paloma
TQG,KAROL G & Shakira
Tennessee Orange,Megan Moroney
Everywhere,Fleetwood Mac
Fires Don't Start Themselves,Darius Rucker
Shivers,Ed Sheeran
Wicked Game,Chris Isaak
Human,Cody Johnson
I Wrote The Book,Morgan Wallen
Lavender Haze,Taylor Swift
BESO,ROSALÍA & Rauw Alejandro
golden hour,JVKE
ICU,Coco Jones
Gold,Dierks Bentley
NASTY,Russ
The Kind of Love We Make,Luke Combs
Like Crazy (Instrumental),Jimin
"Going, Going, Gone",Luke Combs
God Is In This Story,Katy Nichole & Big Daddy Weave
SORRY NOT SORRY,"Tyler, The Creator"
How Do I Say Goodbye,Dean Lewis
Cowgirls (feat. ERNEST),Morgan Wallen
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Look At Us Now (Honeycomb),Daisy Jones & The Six
Where the Wild Things Are,Luke Combs
VOID,Melanie Martinez
Fast Car,Tracy Chapman
You Raise Me Up,Josh Groban
Gratitude,Brandon Lake
10:35,Tiësto & Tate McRae
Whiskey Glasses,Morgan Wallen
"Forever and Ever, Amen",Randy Travis
