title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,id,cluster
Take Me To Church,Hozier,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,241688,4,7dS5EaCoMnN7DzlpT6aRn2,7dS5EaCoMnN7DzlpT6aRn2,5
Cooler Than Me - Single Mix,Mike Posner,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,213293,4,2V4bv1fNWfTcyRJKmej6Sj,2V4bv1fNWfTcyRJKmej6Sj,7
See You Again (feat. Kali Uchis),"Tyler, The Creator",0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4,7KA4W4McWYRpgf0fWsJZWB,7KA4W4McWYRpgf0fWsJZWB,3
Pompeii,Bastille,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,214148,4,3gbBpTdY8lnQwqxNCcf795,3gbBpTdY8lnQwqxNCcf795,3
Hips Don't Lie (feat. Wyclef Jean),Shakira,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,218093,4,3ZFTkvIE7kyPt6Nu3PEa7V,3ZFTkvIE7kyPt6Nu3PEa7V,5
Hall of Fame (feat. will.i.am),The Script,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,202533,4,7wMq5n8mYSKlQIGECKUgTX,7wMq5n8mYSKlQIGECKUgTX,0
Back Where I Belong (feat. Avicii),Otto Knows,0.497,0.865,0,-3.19,1,0.0644,0.0306,0.0679,0.443,0.595,125.96,174203,4,78W8wiUIlQ2SnWY9TVowKZ,78W8wiUIlQ2SnWY9TVowKZ,7
The Heart Wants What It Wants,Selena Gomez,0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066,227373,4,2jcPoPin36hyNRSi4ZsqeB,2jcPoPin36hyNRSi4ZsqeB,5
Dynamite,Taio Cruz,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,202613,4,2CEgGE6aESpnmtfiZwYlbV,2CEgGE6aESpnmtfiZwYlbV,3
Bumpy Ride,Mohombi,0.709,0.854,0,-4.447,0,0.0399,0.047,0.0,0.0724,0.826,105.074,224402,4,0tBRo4P60DgKmg4jt48upm,0tBRo4P60DgKmg4jt48upm,5
Danza Kuduro (feat. Don Omar),Lucenzo,0.706,0.89,0,-6.575,1,0.0847,0.0855,0.0,0.0465,0.896,130.051,202347,4,1kAZhbcsXqfUjnVeqPywn2,1kAZhbcsXqfUjnVeqPywn2,3
Syypää sun hymyyn (feat. Yasmine Yamajako),Cheek,0.472,0.815,9,-4.002,0,0.319,0.171,0.0,0.265,0.81,98.017,230413,4,2N2QvMYwyYHE8V4KZbbG4i,2N2QvMYwyYHE8V4KZbbG4i,1
Whistle,Flo Rida,0.754,0.933,0,-5.786,1,0.0448,0.0199,0.0,0.297,0.75,103.992,225000,4,0ltBH1JNzSvQJPjJpvTu9B,0ltBH1JNzSvQJPjJpvTu9B,3
Girlfriend,Avril Lavigne,0.56,0.959,7,-2.433,1,0.102,0.000738,0.000206,0.209,0.67,163.983,216600,4,5HbCnVLXRyZVxnreOPgJCK,5HbCnVLXRyZVxnreOPgJCK,0
Baby,Justin Bieber,0.463,0.854,8,-5.386,1,0.32,0.0428,0.0,0.0922,0.567,65.038,216520,4,4NFhtFE68cXUrfbne8JE2c,4NFhtFE68cXUrfbne8JE2c,1
I Cry,Flo Rida,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,223800,4,5HE3z4Ew7wZ91l3ZOpGKa4,5HE3z4Ew7wZ91l3ZOpGKa4,5
